Date,Open,High,Low,Close,Adj Close,Volume
2004-01-13,33.367931,33.749283,33.120056,33.415604,21.283447,4457243
2004-01-14,33.510941,34.550114,33.491871,34.483376,21.963560,5172286
2004-01-15,34.492908,35.179337,34.273636,34.778919,22.151802,5153406
2004-01-16,35.036331,35.751358,34.712185,35.684620,22.728662,4684857
2004-01-20,35.007729,35.007729,33.129593,33.997158,21.653870,10371215
2004-01-21,33.701614,34.731251,33.367931,34.597778,22.036415,5624996
2004-01-22,34.607315,34.654984,34.016224,34.254566,21.817822,2506793
2004-01-23,34.130630,34.368973,33.777882,33.959023,21.629576,2606649
2004-01-26,34.082958,35.894363,33.939957,34.693115,22.097141,3734648
2004-01-27,34.654984,34.874256,33.997158,34.035294,21.678152,3671819
2004-01-28,34.044827,34.464310,33.549072,34.016224,21.666008,4583113
2004-01-29,34.321304,34.674049,34.044827,34.273636,21.829962,6022429
2004-01-30,34.702652,34.702652,34.082958,34.435707,21.933197,3653253
2004-02-02,34.283169,34.740784,33.844620,34.283169,21.836033,3107085
2004-02-03,34.130630,34.197365,33.720680,33.825550,21.544559,2946601
2004-02-04,33.415604,33.739746,32.910316,33.224930,21.162004,4349101
2004-02-05,33.510941,33.987625,33.215393,33.825550,21.544559,3864294
2004-02-06,33.749283,34.302235,33.663479,34.225967,21.799601,2800278
2004-02-09,34.111561,34.445240,33.806484,33.920887,21.605291,2789579
2004-02-10,33.920887,34.130630,33.777882,33.959023,21.629576,3188375
2004-02-11,33.720680,34.464310,33.491871,34.416641,21.921045,4116242
2004-02-12,34.464310,35.284206,34.368973,35.227005,22.437197,4328227
2004-02-13,35.103065,35.160267,34.464310,34.712185,22.109283,3301029
2004-02-17,34.721718,34.931458,34.597778,34.759853,22.139648,1854160
2004-02-18,34.559647,34.750320,33.959023,34.102028,21.833248,2784335
2004-02-19,34.340370,34.702652,34.035294,34.054359,21.802721,3781640
2004-02-20,34.063892,34.302235,33.463268,33.920887,21.717268,2527142
2004-02-23,33.930420,33.949490,33.053322,33.377468,21.369343,3329139
2004-02-24,33.387001,33.987625,33.129593,33.320267,21.332733,5017782
2004-02-25,33.377468,33.653942,33.282131,33.339333,21.344929,3318021
2004-02-26,33.367931,33.463268,32.805447,33.310730,21.326626,4614265
2004-02-27,33.291664,33.739746,33.224930,33.415604,21.393770,3325153
2004-03-01,33.520473,33.787415,33.444202,33.663479,21.552464,3302392
2004-03-02,32.891251,33.653942,32.814980,33.272594,21.302204,3254247
2004-03-03,33.282131,33.501404,33.148659,33.434669,21.405977,2103696
2004-03-04,33.653942,33.844620,33.282131,33.558605,21.485325,2552630
2004-03-05,33.272594,33.530006,32.996120,33.329800,21.338829,2187609
2004-03-08,33.301197,33.596741,32.786377,32.891251,21.058060,2002896
2004-03-09,32.891251,32.938915,31.937880,32.376431,20.728464,3237045
2004-03-10,32.290627,32.385963,31.137049,31.423059,20.118076,4568743
2004-03-11,31.241919,31.546997,30.688965,30.927307,19.800676,5194838
2004-03-12,31.251453,31.613733,31.165649,31.461193,20.142496,4237811
2004-03-15,31.461193,31.670937,30.889174,31.070313,19.892237,3759822
2004-03-16,31.461193,31.537464,30.279016,30.612696,19.599251,5582935
2004-03-17,30.650829,31.356323,30.650829,31.270519,20.020411,3716397
2004-03-18,31.280054,31.365856,30.717566,31.203785,19.977686,1955380
2004-03-19,31.203785,31.709070,30.974976,31.117981,19.922756,3889468
2004-03-22,30.603163,30.660364,29.773729,30.269482,19.379513,4527940
2004-03-23,30.269482,30.765236,30.269482,30.422022,19.477179,3062191
2004-03-24,30.288549,30.631763,30.031139,30.488756,19.519907,3053066
2004-03-25,30.555492,31.461193,30.536427,31.337255,20.063147,5035613
